GEOGID,GEOGTYPE,GEOGDESC
E11001,ED,Ceannanus Mór (Kells) Urban
E11002,ED,Navan Urban
E11003,ED,Trim Urban
E11004,ED,Drumcondra
E11005,ED,Grangegeeth
E11006,ED,Killary
E11007,ED,Culmullin
E11008,ED,Donaghmore
E11009,ED,Dunboyne
E11010,ED,Dunshaughlin
E11011,ED,Kilbrew
E11012,ED,Killeen
E11013,ED,Kilmessan
E11014,ED,Kilmore
E11015,ED,Rathfeigh
E11016,ED,Ratoath
E11017,ED,Rodanstown
E11018,ED,Skreen
E11019,ED,Ardagh
E11020,ED,Ballinlough
E11021,ED,Balrathboyne
E11022,ED,Boherboy
E11023,ED,Burry
E11024,ED,Carrickleck
E11025,ED,Castlekeeran
E11026,ED,Ceannanus Mór (Kells) Rural
E11027,ED,Cruicetown
E11028,ED,Girley
E11029,ED,Kilmainham
E11030,ED,Kilskeer
E11031,ED,Loughan
E11032,ED,Maperath
E11033,ED,Martry
E11034,ED,Moybolgue
E11035,ED,Moynalty
E11036,ED,Newcastle
E11037,ED,Newtown
E11038,ED,Nobber
E11039,ED,Posseckstown
E11040,ED,Staholmog
E11041,ED,Tailtin
E11042,ED,Trohanny
E11043,ED,Ardcath
E11044,ED,Duleek
E11045,ED,Julianstown
E11046,ED,Mellifont
E11047,ED,St. Mary's (Part Rural)
E11048,ED,Stamullin
E11049,ED,Ardbraccan
E11050,ED,Ardmulchan
E11051,ED,Bective
E11052,ED,Castletown
E11053,ED,Domhnach Phádraig
E11054,ED,Kentstown
E11055,ED,Navan Rural
E11056,ED,Painestown
E11057,ED,Rathkenny
E11058,ED,Slane
E11059,ED,Stackallan
E11060,ED,Tara
E11061,ED,Crossakeel
E11062,ED,Crosskeys
E11063,ED,Killallon
E11064,ED,Killeagh
E11065,ED,Knocklough
E11066,ED,Moylagh
E11067,ED,Oldcastle
E11068,ED,Stonefield
E11069,ED,Ardnamullan
E11070,ED,Baile Átha Buí
E11071,ED,Ballyboggan
E11072,ED,Ballyconnell
E11073,ED,Castlejordan
E11074,ED,Castlerickard
E11075,ED,Cloghbrack
E11076,ED,Clonmacduff
E11077,ED,Gallow
E11078,ED,Galtrim
E11079,ED,Grennanstown
E11080,ED,Hill of Down
E11081,ED,Innfield
E11082,ED,Cill Bhríde
E11083,ED,Kilcooly
E11084,ED,Kildalky
E11085,ED,Killaconnigan
E11086,ED,Killyon
E11087,ED,Laracor
E11088,ED,Rahinstown
E11089,ED,Rathmolyon
E11090,ED,An Ráth Mhór
E11091,ED,Summerhill
E11092,ED,Trim Rural
E12001,ED,Birr Urban
E12002,ED,Tullamore Urban
E12003,ED,Ballycumber
E12004,ED,Banagher
E12005,ED,Birr Rural
E12006,ED,Broughal
E12007,ED,Cloghan
E12008,ED,Clonmacnoise
E12009,ED,Derrinboy
E12010,ED,Derryad
E12011,ED,Doon
E12012,ED,Dromoyle
E12013,ED,Drumcullen
E12014,ED,Eglish
E12015,ED,Ferbane
E12016,ED,Gallen
E12017,ED,Hinds
E12018,ED,Huntston
E12019,ED,Kilcolman
E12020,ED,Kilcormac
E12021,ED,Killyon
E12022,ED,Kinnitty
E12023,ED,Knockbarron
E12024,ED,Lea
E12025,ED,Letter
E12026,ED,Lumcloon
E12027,ED,Lusmagh
E12028,ED,Mounterin
E12029,ED,Moyclare
E12030,ED,Seirkieran
E12031,ED,Shannonbridge
E12032,ED,Shannonharbour
E12033,ED,Srah
E12035,ED,Ballyburly
E12036,ED,Ballymacwilliam
E12037,ED,Bracknagh
E12038,ED,Clonbulloge
E12039,ED,Clonmore
E12040,ED,Croghan
E12041,ED,Edenderry Rural
E12042,ED,Edenderry Urban
E12043/12034,ED,Esker / Ballaghassaan
E12044,ED,Knockdrin
E12045,ED,Monasteroris
E12046,ED,Aghancon
E12047,ED,Ballincor
E12048,ED,Barna
E12049,ED,Cangort
E12050,ED,Cullenwaine
E12051,ED,Dunkerrin
E12052,ED,Ettagh
E12053,ED,Gorteen
E12054,ED,Mountheaton
E12055,ED,Roscomroe
E12056,ED,Shinrone
E12057,ED,Templeharry
E12058,ED,Tulla
E12059,ED,Ballycommon
E12060,ED,Ballyshear
E12061,ED,Bawn
E12062,ED,Cappancur
E12063,ED,Clara
E12064,ED,Clonygowan
E12065,ED,Daingean
E12066,ED,Derrycooley
E12067,ED,Durrow
E12068,ED,Geashill
E12069,ED,Gorteen
E12070,ED,Hammerlane
E12071,ED,Kilclonfert
E12072,ED,Kilcumreragh
E12073,ED,Killeigh
E12074,ED,Killooly
E12075,ED,Killoughy
E12076,ED,Mountbriscoe
E12077,ED,O'Dempsey
E12078,ED,Portarlington North
E12079,ED,Rahan
E12080,ED,Raheenakeeran
E12081,ED,Rathfeston
E12082,ED,Rathrobin
E12083,ED,Screggan
E12084,ED,Silverbrook
E12085,ED,Tinamuck
E12086,ED,Tinnycross
E12087,ED,Tullamore Rural
E13001,ED,Athlone East Urban
E13002,ED,Athlone West Urban
